code,name,district_code,facility_type,source_uuid
06681,INF-PV PRIVE INFIRMÉRIE SCB BADEMA DE ANYAMA,103,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS6681
03028,INF-PV SAINTE MARIE,103,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3028
02926,CABINET D’OPTICIEN-LUNETIER ESPACE OPTIC STE RITA,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2926
02879,CABINET D’OPTICIEN-LUNETIER OCEAN VISION,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2879
02912,CABINET D’OPTICIEN-LUNETIER OPTIQUE NUCLEAIRE,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2912
02885,COL PENIEL OPTIQUE SHALOM YOP,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2885
02914,COL PROFESSIONNEL OPTIC YOP KOUTE,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2914
02906,CABINET D’OPTICIEN-LUNETIER TOP VISION,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2906
02978,CENTRE MÉDICAL DU FPPN (POLICE NATIONALE),104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2978
02418,CENTRE MEDICAL NDA DE NOUVEAU QUARTIER,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2418
03085,CM SACRE COEUR DE YOPOUGON CAMP MILITAIRE,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3085
02416,CLINIQUE SILOHE,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2416
02421,CLINIQUE HOZANNA  DE CAMP MILITAIRE,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2421
02309,CLINIQUE LES OLIVIERS,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2309
09722,CM CHRYSALIDE DE YOPOUGON TOIT-ROUGE,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9722
02423,CLINIQUE PIERRE MARIE HAGMAN DE SIDECI IGES,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2423
02422,CLINIQUE SAINTE FAMILLE DE SIDECI LEM,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2422
07911,CMS CONFESSIONNEL BETHESDA DE YOPOUGON,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS7911
07912,CMS CONFESSIONNEL OEUVRES ET MISSION BAPTISTE DE Y,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS7912
07921,CMS CONFESSIONNEL OEUVRES ET MISSION BAPTISTE DE Y,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS7921
03254,CMS CONFESSIONNEL SAINT LAURENT DE YOPOUGON KOUTE,104,PV,
00151,CMS PRIVE CNPS DE YOPOUGON,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0151
00939,CMS PRIVE-ONG CENTRE PLUS DE YOPOUGON-EST,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0939
09734,CMS PRIVE-ONG EDEN DE YOPOUGON EST,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9734
02380,CMS PRIVE-ONG GVD,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2380
07704,CMS PRIVE-ONG NAZAREEN DE YOPOUGON,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS7704
00155,CSU-D PUBLIC DE PRISON MACA DE YOPOUGON,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0155
01276,CSU-DM COMMUNAUTAIRE DE YOPOUGON ANDOKOI,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1276
07702,CSU-DM PRIVE-ONG ASAPSU I DE YOPOUGON,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS7702
07703,CSU-DM PRIVE-ONG CAMES DE YOPOUGON,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS7703
00012,CSU-DM PUBLIC DE YOPOUGON SANTE,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0012
00941,CSU-DM PUBLIC DE YOPOUGON-ILE BOULAY,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0941
01498,CSUS-SSSU PUBLIC SICOGI DE YOPOUGON,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1498
02415,ESPACE MEDICAL PHENIX,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2415
02417,ESPACE MEDICAL SAINT SIMON,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2417
01443,FSU COMMUNAUTAIRE DE YOPOUGON KOUTE,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1443
00150,FSU COMMUNAUTAIRE DE YOPOUGON TOITS-ROUGES,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0150
06155,FSU COMMUNAUTAIRE MUDESCA KOWEIT DE YOPOUGON,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS6155
00080,FSU COMMUNAUTAIRE OUASSAKARA DE YOPOUGON,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0080
02419,HOTEL MEDICAL MARIA DE CAMP MILITAIRE,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2419
02572,ICT 4ÈME CIE GSPM DE YOPOUGON,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2572
03255,INF-D PUBLIC MACA EXTERIEUR,104,PB,
03029,INFIRMERIE ASSISTANCE MÉDICALE HUMANITAIRE,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3029
00071,INF-LC PUBLIC COLLÈGE JEUNES FILLES DE YOPOUGON,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0071
01117,INF-LC PUBLIC COLLÈGE MODERNE ANDOKOI DE YOPOUGON,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1117
